"","mariners_home","seahawks_home","sounders_home","trav_holiday","dang_holiday","night","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","day_num","zone1","zone2","zone3","zone4","zone5","zone6","zone7","seasonality","freq"
"52",0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1.85227480885,3
"53",0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1.85227480885,6
"54",0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1.85227480885,8
"55",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1.85227480885,25
"56",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1.85227480885,14
"57",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1.85227480885,23
"58",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.85227480885,3
"59",0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1.86114675405,32
"60",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1.86114675405,33
"61",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,1.86114675405,27
"62",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1.86114675405,22
"63",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1.86114675405,4
"64",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,1.86114675405,5
"65",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,1.86114675405,10
"66",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1.86114675405,6
"67",0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1.86114675405,8
"68",0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1.86114675405,21
"69",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,1.86114675405,16
"70",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1.86114675405,19
"71",0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1.86114675405,5
"72",0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1.86114675405,4
"73",0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1.86976387207,39
"74",0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,1.86976387207,28
"75",0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.86976387207,18
"76",0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1.86976387207,28
"77",0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,1.86976387207,18
"78",0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1.86976387207,21
"79",0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1.86976387207,25
"80",0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1.86976387207,8
"81",0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0,1.86976387207,3
"82",0,0,0,0,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1.86976387207,8
"83",0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,1.86976387207,5
"84",0,0,0,0,1,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1.86976387207,3
"85",0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.86976387207,6
"86",0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1.86976387207,5
"87",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1.87812361296,9
"88",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1.87812361296,8
"89",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1.87812361296,1
"90",1,0,0,0,0,1,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1.87812361296,5
"91",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1.87812361296,7
"92",1,0,0,0,0,1,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1.87812361296,11
"93",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1.87812361296,8
"94",1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,1.87812361296,7
"95",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1.87812361296,28
"96",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1.87812361296,16
"97",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,1.87812361296,13
"98",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1.87812361296,24
"99",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1.87812361296,1
"100",1,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1.87812361296,23
